week_id,sales1_name,factor
1,Gross Adds,1
2,Gross Adds,1
3,Gross Adds,1
4,Gross Adds,1
5,Gross Adds,1
6,Gross Adds,1
7,Gross Adds,1
8,Gross Adds,1
9,Gross Adds,1
10,Gross Adds,1
11,Gross Adds,1
12,Gross Adds,1
13,Gross Adds,1
14,Gross Adds,1
15,Gross Adds,1
16,Gross Adds,1
17,Gross Adds,1
18,Gross Adds,1
19,Gross Adds,1
20,Gross Adds,1
21,Gross Adds,1
22,Gross Adds,1
23,Gross Adds,1
24,Gross Adds,1
25,Gross Adds,1
26,Gross Adds,1
27,Gross Adds,1
28,Gross Adds,1
29,Gross Adds,1
30,Gross Adds,1
31,Gross Adds,1
32,Gross Adds,1
33,Gross Adds,1
34,Gross Adds,1
35,Gross Adds,1
36,Gross Adds,1
37,Gross Adds,1
38,Gross Adds,1
39,Gross Adds,1
40,Gross Adds,1
41,Gross Adds,1
42,Gross Adds,1
43,Gross Adds,1
44,Gross Adds,1
45,Gross Adds,1
46,Gross Adds,1
47,Gross Adds,1
48,Gross Adds,1
49,Gross Adds,1
50,Gross Adds,1
51,Gross Adds,1
52,Gross Adds,1
