"chan1_id","dma1_id","chan1_name","dma1_name","bdgt_id","cps"
451,146,"Cable TV","National","451_146",""
455,146,"Cinema","National","455_146",""
457,146,"Dirent Mail","National","457_146",""
244,146,"Display","National","244_146",""
410,146,"Email","National","410_146",""
458,146,"Hispanic Display","National","458_146",""
453,146,"Hispanic Radio","National","453_146",""
452,146,"Hispanic TV","National","452_146",""
456,146,"Local Print","National","456_146",""
247,146,"Local Radio","National","247_146",""
454,146,"National Print","National","454_146",""
276,146,"Network Radio","National","276_146",""
243,146,"Network TV","National","243_146",""
6,146,"OOH","National","6_146",""
445,146,"SMS","National","445_146",""
459,146,"Search - Branded","National","459_146",""
460,146,"Search - non Branded","National","460_146",""
289,146,"Social","National","289_146",""
461,146,"Video","National","461_146",""
