"sales1_id","chan1_id","dma1_id"
"Gross Adds","Cable TV","National"
"Gross Adds","Cinema","National"
"Gross Adds","Dirent Mail","National"
"Gross Adds","Display","National"
"Gross Adds","Email","National"
"Gross Adds","Hispanic Display","National"
"Gross Adds","Hispanic Radio","National"
"Gross Adds","Hispanic TV","National"
"Gross Adds","Local Print","National"
"Gross Adds","Local Radio","National"
"Gross Adds","National Print","National"
"Gross Adds","Network Radio","National"
"Gross Adds","Network TV","National"
"Gross Adds","OOH","National"
"Gross Adds","SMS","National"
"Gross Adds","Search - Branded","National"
"Gross Adds","Search - non Branded","National"
"Gross Adds","Social","National"
"Gross Adds","Video","National"
